Qubit,Quantity
4.61,0 ul
4.96,0 ul
5.95,0 ul
4.59,0 ul
4.94,0 ul
5.83,0 ul
4.54,0 ul
4.93,0 ul
5.97,0 ul
3.37,100 ul
3.93,100 ul
3.8,100 ul
3.37,100 ul
3.93,100 ul
3.79,100 ul
3.31,100 ul
3.82,100 ul
3.74,100 ul
3.5,150 ul
3.06,150 ul
3.15,150 ul
3.49,150 ul
3.04,150 ul
3.15,150 ul
3.43,150 ul
2.99,150 ul
3.1,150 ul
3.79,25 ul
4.02,25 ul
4.18,25 ul
3.78,25 ul
4.01,25 ul
4.16,25 ul
3.73,25 ul
3.95,25 ul
4.13,25 ul
4.28,50 ul
4.83,50 ul
4.23,50 ul
4.27,50 ul
4.81,50 ul
4.23,50 ul
4.16,50 ul
4.76,50 ul
4.13,50 ul
