domain,kingdom,phylum,class,order,family,genus,species,OTU,numberOfUnq_BlastHits,P1,P10,P11,P12,P13,P14,P15,P16,P17,P18,P2,P3,P7,P8,P9
Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,dropped,dropped,Zotu100,3,412,195,48,161,567,137,72,21,460,59,599,55,273,6,125
Eukaryota,Metazoa,Porifera,Demospongiae,Chondrillida,dropped,dropped,dropped,Zotu1023,3,3,7,0,6,2,1,1,1,3,4,3,3,1,0,11
Eukaryota,Metazoa,Porifera,Demospongiae,Suberitida,Suberitidae,Protosuberites,dropped,Zotu1024,7,6,0,0,1,0,4,23,0,5,4,2,1,0,0,1
Eukaryota,Metazoa,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Thylaeodus,dropped,Zotu106,2,177,234,105,353,350,215,132,311,391,295,278,209,578,114,778
Eukaryota,Metazoa,Porifera,Demospongiae,Suberitida,Suberitidae,Terpios,Terpios gelatinosus ,Zotu110,8,0,0,1,0,2,4,3,0,0,2,1,2,0,0,2232
Eukaryota,Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,Amphibalanus reticulatus,Zotu1153,4,0,5,0,11,0,0,5,0,0,0,0,4,2,5,9
Eukaryota,Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,Amphibalanus reticulatus,Zotu1234,6,7,0,0,2,0,3,2,1,1,1,0,3,0,1,14
Eukaryota,Metazoa,Nemertea,Palaeonemertea,Archinemertea,Cephalotrichidae,dropped,dropped,Zotu1406,3,0,0,0,4,0,0,0,0,10,3,0,2,0,0,0
Eukaryota,Metazoa,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Thylaeodus,dropped,Zotu148,2,100,66,47,160,127,99,31,293,227,342,286,44,78,43,281
Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,dropped,dropped,Zotu149,3,98,39,28,173,168,63,208,283,92,306,136,92,187,63,110
Eukaryota,Metazoa,Nemertea,Palaeonemertea,Archinemertea,Cephalotrichidae,dropped,dropped,Zotu1558,3,4,0,0,0,4,1,0,0,0,2,0,1,0,0,5
Eukaryota,Metazoa,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria,Holothuria edulis,Zotu1619,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Eukaryota,Metazoa,Mollusca,Gastropoda,Pleurobranchia,Pleurobranchidae,Berthella,Berthella stellata,Zotu1737,2,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0
Eukaryota,Metazoa,Annelida,Polychaeta,,Chaetopteridae,Chaetopterus,Chaetopterus sp. JMM09,Zotu183,2,27,23,116,76,150,143,165,59,64,0,49,228,45,39,138
Eukaryota,Metazoa,Porifera,Demospongiae,dropped,dropped,dropped,dropped,Zotu2011,3,3,3,2,0,7,0,1,1,0,0,5,1,1,0,0
Eukaryota,Metazoa,Nemertea,Palaeonemertea,Archinemertea,Cephalotrichidae,dropped,dropped,Zotu2022,3,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,Amphibalanus reticulatus,Zotu2076,4,0,0,0,0,0,3,3,0,5,3,3,0,7,3,6
Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,dropped,dropped,Zotu262,3,0,100,0,144,0,22,25,0,0,163,112,25,86,0,0
Eukaryota,Metazoa,Echinodermata,Echinoidea,Temnopleuroida,Toxopneustidae,Tripneustes,Tripneustes gratilla,Zotu28,3,803,663,421,545,935,933,1059,1050,1326,1352,738,612,620,203,1918
Eukaryota,Metazoa,Echinodermata,Ophiuroidea,Amphilepidida,Ophiactidae,Ophiactis,Ophiactic aff. savingnyi,Zotu289,7,102,33,8,53,0,69,35,38,22,97,35,22,0,17,1
Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Lobactis,Lobactis scutaria,Zotu303,10,9,24,15,84,73,45,40,36,59,62,9,3,1,5,21
Eukaryota,Metazoa,Porifera,Demospongiae,Suberitida,Suberitidae,Terpios,Terpios sp. 1 JV-2020,Zotu306,2,93,21,7,47,33,14,19,19,16,19,93,37,22,15,55
Eukaryota,Metazoa,Annelida,Polychaeta,,Chaetopteridae,Phyllochaetopterus,Phyllochaetopterus cf. verrilli,Zotu355,2,18,13,13,23,25,16,16,44,37,59,24,12,11,7,53
Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Xanthidae,Etisus,Etisus laevimanus,Zotu403,2,18,34,0,0,0,1,0,0,106,90,0,0,0,0,0
Eukaryota,Metazoa,Porifera,Demospongiae,Haplosclerida,Niphatidae,Gelliodes,Gelloides wilsoni,Zotu407,4,95,17,13,8,17,19,5,16,41,15,22,15,16,11,23
Eukaryota,Metazoa,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Stenoplax,Stenoplax petaloides,Zotu455,2,27,0,1,0,0,0,0,0,0,0,126,2,107,6,0
Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,dropped,dropped,Zotu47,3,744,197,347,890,322,466,833,915,515,813,185,461,364,415,1048
Eukaryota,Metazoa,Porifera,Demospongiae,Axinellida,Raspailiidae,Echinodictyum,Echinodictyum asperum,Zotu569,2,6,5,3,15,4,3,13,14,9,17,6,4,5,8,11
Eukaryota,Metazoa,Echinodermata,Ophiuroidea,Amphilepidida,Ophiactidae,Ophiactis,dropped,Zotu577,4,0,0,1,11,0,0,34,0,41,40,0,2,0,0,0
Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,dropped,dropped,Zotu66,3,66,72,16,268,760,89,293,577,131,162,1057,164,152,132,173
Eukaryota,Metazoa,Porifera,Demospongiae,dropped,dropped,dropped,dropped,Zotu855,3,50,0,7,0,18,0,0,0,0,0,0,0,0,6,0
Eukaryota,Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,dropped,Zotu97,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Eukaryota,Metazoa,Porifera,Demospongiae,Biemnida,Biemnidae,Biemna,Biemna fistulosa,Zotu977,5,0,4,3,0,13,5,0,3,0,0,0,3,2,3,0
Eukaryota,Metazoa,Porifera,Demospongiae,dropped,dropped,dropped,dropped,Zotu984,3,2,4,0,7,2,1,0,12,3,9,3,3,2,0,0
