qseqid,sseqid,staxid,ssciname,scomname,sskingdom,pident,length,qlen,slen,mismatch,gapopen,gaps,qstart,qend,sstart,send,stitle,evalue,bitscore,qcovs,qcovhsp
Zotu1,gi|1934896778|gb|MW278668.1|,2790614,Trochus intextus,Trochus intextus,Eukaryota,100,313,313,658,0,0,0,1,313,346,658,"Trochus intextus voucher UF:Invertebrate Zoology:508547-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu1,gi|1934894900|gb|MW277731.1|,2790614,Trochus intextus,Trochus intextus,Eukaryota,100,313,313,658,0,0,0,1,313,346,658,"Trochus intextus voucher UF:Invertebrate Zoology:507973-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu1,gi|1934894800|gb|MW277681.1|,2790614,Trochus intextus,Trochus intextus,Eukaryota,100,313,313,658,0,0,0,1,313,346,658,"Trochus intextus voucher UF:Invertebrate Zoology:507961-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu2,gi|1858626016|gb|MN849868.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG99 haplogroup Q1a mitochondrion, complete genome",1.47E-156,565,100,100
Zotu2,gi|1858626002|gb|MN849867.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG98 haplogroup B4a1a1a mitochondrion, complete genome",1.47E-156,565,100,100
Zotu2,gi|1858625988|gb|MN849866.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG94 haplogroup P1d mitochondrion, complete genome",1.47E-156,565,100,100
Zotu2,gi|1858625974|gb|MN849865.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG93 haplogroup Q3a1 mitochondrion, complete genome",1.47E-156,565,100,100
Zotu2,gi|1858625960|gb|MN849864.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG91 haplogroup B4a1a1 mitochondrion, complete genome",1.47E-156,565,100,100
Zotu2,gi|1858625946|gb|MN849863.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG9 haplogroup E1a2a1 mitochondrion, complete genome",1.47E-156,565,100,100
Zotu2,gi|1858625932|gb|MN849862.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG88 haplogroup P3b mitochondrion, complete genome",1.47E-156,565,100,100
Zotu2,gi|1858625918|gb|MN849861.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG87 haplogroup P2 mitochondrion, complete genome",1.47E-156,565,100,100
Zotu2,gi|1858625904|gb|MN849860.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG84 haplogroup B4a1a1a1c mitochondrion, complete genome",1.47E-156,565,100,100
Zotu2,gi|1858625890|gb|MN849859.1|,9606,Homo sapiens,human,Eukaryota,100,313,313,16568,0,0,0,1,313,6295,6607,"Homo sapiens isolate PNG83 haplogroup M27c mitochondrion, complete genome",1.47E-156,565,100,100
Zotu7,gi|2020303798|gb|MW417227.1|,265543,Minutocellus polymorphus,Minutocellus polymorphus,Eukaryota,97.764,313,313,39255,7,0,0,1,313,432,744,"Minutocellus polymorphus isolate CNS00217 mitochondrion, complete genome",8.69E-147,534,100,100
Zotu8,gi|40714124|dbj|AB104870.1|,223366,Ascidia ahodori,Ascidia ahodori,Eukaryota,100,313,313,802,0,0,0,1,313,97,409,"Ascidia ahodori COI for cytochrome c oxidase subunit I, partial cds",1.47E-156,565,100,100
Zotu9,gi|1913154935|gb|MW059091.1|,2772991,Plakortis sp. 1 JV-2020,Plakortis sp. 1 JV-2020,Eukaryota,100,313,313,1167,0,0,0,1,313,330,642,"Plakortis sp. 1 JV-2020 voucher UF 3905 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
